content,Positive,Neutral,Negative,Sentiment
我也愿意对庵野导演鼓掌说“恭喜完结”，,0.72618376,,0.27381624,positive
就好像导演在提醒观众，,0.519391,,0.480609,positive
导演成功地熬死了我作为二次元阿宅最后的仅剩的现实行动力。,0.4500485,,0.5499515,negative
导演啰嗦，,0.42470677,,0.57529323,negative
这部片子成功让我第一次质疑究竟是演员木头还是导演无能。,0.39164944,,0.60835056,negative
只可惜导演把握节奏的功力太差，,0.27003345,,0.72996655,negative
这么拍的导演简直是铁憨憨,0.7218192,,0.2781808,positive
德温特先生是个什么东西啊贺卡侠又土又油两个奶子比女的还大要把我闪瞎了🙈导演似乎怕观众看不懂？,0.37223189,,0.62776811,negative
导演你这样做对得起我K对得起我嘛？,0.69060218,,0.30939782,positive
导演完全远离了贵族生活圈。,0.49726813,,0.50273187,negative
导演节奏把握得非常差，,0.26922521,,0.73077479,negative
明白导演想表达和原著不一样的内涵，,0.49438855,,0.50561145,negative
毕竟问题出在导演本身。,0.5519021,,0.4480979,positive
con:导演在气氛营造方面十足的五十度灰没有一分的希区柯克这种疑神疑鬼但从头至尾不见鬼的情节最靠镜头营造气氛然而硬生生拍成言情小电影过多的流连于展现夫妻两人如胶似漆的情节--如果先生这么体贴夫人有什么好担心的？,0.47011125,,0.52988875,negative
导演的叙事方法完全没有悬疑感，,0.49609946,,0.50390054,negative
白左导演懂个毛人类隐忍的情感，,0.46128576,,0.53871424,negative
这部电影唯一的价值就是让人们看到同一个故事在不同导演的处理之下，,0.44072872,,0.55927128,negative
镜头所见与摄影机所动同导演伊斯特伍德和演员伊斯特伍德融为一体，,0.51783087,,0.48216913,positive
又用《理查德·朱维尔的哀歌》证明了导演技艺的稳健，,0.49564931,,0.50435069,negative
依然跟近十来年老爷子导演的不少作品一样更像是一部“成人童话”，,0.54882562,,0.45117438,positive
其实真要说的话这部的水准在其导演的电影里可能只能是中等甚至于中偏下的，,0.46253214,,0.53746786,negative
和作为本片导演和主演的东木，,0.5764414,,0.4235586,positive
老导演已经看淡一切了，,0.50788579,,0.49211421,positive
反正导演椅就是他最好的归宿。,0.50579436,,0.49420564,positive
可以看出老派的导演/呈现方式。,0.6350384,,0.3649616,positive
做导演功力还在，,0.51410794,,0.48589206,positive
有的导演再怎么重复自己也不会让人讨厌，,0.32635748,,0.67364252,negative
他可能是现在所有的导演里，,0.48772233,,0.51227767,negative
可以找个有创意的新导演拍得酷一点、帅气一些呢，,0.62615003,,0.37384997,positive
导演也懒得打磨故事了，,0.30259229,,0.69740771,negative
如果史泰龙选择亲自导演这部电影，,0.53290607,,0.46709393,positive
这也是导演阿德里安·格鲁伯格在其成名作里擅长的，,0.47856288,,0.52143712,negative
不太懂导演在想什么。,0.52085912,,0.47914088,positive
我也很欣赏导演没把男主写成一个圣人，,0.67466572,,0.32533428,positive
孟买女导演带着另一位女编剧，,0.5022027,,0.4977973,positive
女导演拍得很大气，,0.49325676,,0.50674324,negative
但导演还是很细致地捕捉到了Murad由Murad到GullyBoy之间的转变，,0.65513731,,0.34486269,positive
看得时候就觉得导演像是拍过《人生不再重来》的，,0.53181187,,0.46818813,positive
女导演细腻的笔触和视角，,0.5293771,,0.4706229,positive
导演ZoyaAkhtar和她的老搭档ReemaKagti共同带来的这部“GullyBoy”总体电影一般，,0.6969551,,0.3030449,positive
种姓问题上再融入性别与宗教议题浅显却不失激烈的批判姿态并不显廉价女导演女编剧是意外的惊喜！,0.49757922,,0.50242078,negative
导演很强，,0.58779185,,0.41220815,positive
导演把环境对人的影响描写地丝丝入扣，,0.55106918,,0.44893082,positive
我发现第三代导演有个特点，,0.46894478,,0.53105522,negative
相比于第二代导演在建国后虚伪的歌功颂德，,0.38317417,,0.61682583,negative
第三代导演虽说政治宣传色彩也很浓，,0.61858925,,0.38141075,positive
王苹导演的仍旧很细腻，,0.6422306,,0.3577694,positive
相比于某些导演流水账式的叙事，,0.52596533,,0.47403467,positive
王苹凭着自己的导演经验相信王心刚能够演好这个角色，,0.64055855,,0.35944145,positive
原来是大导演，,0.50526564,,0.49473436,positive
而且是女导演。,0.52063736,,0.47936264,positive
研究生毕业的时候写的王苹的导演艺术，,0.50121168,,0.49878832,positive
距离诺顿上一次当导演虽然已经快20年了，,0.60739976,,0.39260024,positive
导演加主演。,0.50395125,,0.49604875,positive
当导演的诺顿显然无法做出取舍，,0.31525958,,0.68474042,negative
再追随着主演（导演）的脚步一点点拾起散落的碎片，,0.53787115,,0.46212885,positive
可是自己导演就…算了吧…虽然剧情还可以，,0.52898199,,0.47101801,positive
不过导演功力倒是能有所展现。,0.64855747,,0.35144253,positive
1.爱德华·诺顿导演、编剧、制片并主演，,0.51717037,,0.48282963,positive
诺顿的导演本领不行，,0.46110265,,0.53889735,negative
虽然导演和男主诺顿几乎是偏心过头地贯穿了每一个场和各种加戏，,0.42091589,,0.57908411,negative
诺顿当导演编剧就像他的表演一样，,0.32584273,,0.67415727,negative
只能说诺顿是个聪明的导演却不是天才型选手，,0.58638097,,0.41361903,positive
节奏与剪辑则是新人导演最容易受到大众观众批评（或者拥护）的两大争议点。,0.55544544,,0.44455456,positive
演员转导演里诺顿真不错哎，,0.62417418,,0.37582582,positive
但导演功力已经显现，,0.51164548,,0.48835452,positive
诺顿的表演比导演好太多了~,0.71636997,,0.28363003,positive
诺顿的导演处女作完成得还算不错。,0.72458954,,0.27541046,positive
爱德华·诺顿导演，,0.61934281,,0.38065719,positive
导演？,0.49870052,,0.50129948,negative
他应当去跟昆汀学习如何成为一个害羞而又出格的导演。,0.52531266,,0.47468734,positive
诺顿作为新人导演在剪辑上颇为稚嫩，,0.522124,,0.477876,positive
所以演员的表演还真是很考验导演的功力。,0.65647307,,0.34352693,positive
只能说诺顿当导演还是不太行。,0.29888247,,0.70111753,negative
这角色太适合导演本人了！,0.62100064,,0.37899936,positive
3.5开始导演吧走向东木之路,0.50240899,,0.49759101,positive
导演深谙知名配角演员即是boss之道来了反其道而行之，,0.52738342,,0.47261658,positive
导演把握的度很准确，,0.57509065,,0.42490935,positive
监制和导演毕竟是有区别的，,0.55223748,,0.44776252,positive
导演添加改动的部分则几乎都在水准线以下，,0.39556035,,0.60443965,negative
导演罗德里格兹也不错，,0.72667876,,0.27332124,positive
