content,Positive,Neutral,Negative,Sentiment
黑人演员演的不错的,0.72797641,,0.27202359,positive
老戏骨不如年轻演员演得好，,0.56816922,,0.43183078,positive
两位年轻演员可圈可点，,0.5529135,,0.4470865,positive
现在剩下的可能就只有两个年轻演员的颜值了。,0.51132899,,0.48867101,positive
老演员也并没有比年轻演员更出彩，,0.45024655,,0.54975345,negative
没有一个演员意识到自己“正在”一部电影之中，,0.43733433,,0.56266567,negative
最后还有两个油腻的中年大叔故作少女状态来彻底熄灭了两个青年演员创造的火花，,0.47199127,,0.52800873,negative
很台湾演员的过火，,0.55166011,,0.44833989,positive
两位95后男演员以他们的年纪和经历来说表现的很好、看得很舒服投入，,0.66332017,,0.33667983,positive
王彩桦这么好的演员一定可以令故事更动人，,0.68008313,,0.31991687,positive
//不怪说一直要问台湾电影是不是要死了//基本没什么继续挖掘的深度所谓戏剧冲突爆发的几场戏谈论的东西也都是这些年常在讨论的内容即使是把语境放在刚解严的台湾讨论也太过于浅显这一点给我的感觉倒非常像《85年盛夏》的观感不算难看但刚出土//年轻时候的演员实在是盘正条顺台味也不是很重去演偶像剧啦,0.41929389,,0.58070611,negative
演员都是英国熟面孔，,0.53364035,,0.46635965,positive
圣诞老人的童年(起源)两位HP的老演员现在变老了好多阿..看到她们才实际感觉到了已经过了这么久了..,0.57776923,,0.42223077,positive
演技特效服装演员剧情都什么玩意……,0.33174876,,0.66825124,negative
不得不佩服Hittman调教演员的能力。,0.69841113,,0.30158887,positive
情感表露与演员表演却十分沉静克制，,0.53043854,,0.46956146,positive
信任演员，,0.49343808,,0.50656192,negative
两个女演员表现亮眼，,0.45458232,,0.54541768,negative
一众演员也气质不凡。,0.49779565,,0.50220435,negative
演员表现出色。,0.6625308,,0.3374692,positive
两个都是很优秀的演员，,0.72458052,,0.27541948,positive
而是作为演员，,0.49306323,,0.50693677,negative
透过演员的表演，,0.60262248,,0.39737752,positive
演员的工作不就是突破自我和之前的角色吗？,0.30333029,,0.69666971,negative
多的给演员演技。,0.42709293,,0.57290707,negative
综合评价：剧情配不上全体演员演技的一部还算能看的剧,0.4018334,,0.5981666,negative
