content,Positive,Neutral,Negative,Sentiment
音乐差太多就不说了，,0.27486719,,0.72513281,negative
论剧情论剪辑论音乐，,0.49335568,,0.50664432,negative
还是最喜欢音乐剧。,0.7293844,,0.2706156,positive
最后安利音乐剧版,0.50292417,,0.49707583,positive
举重若轻感染力还是欠在小男孩身上了；但再看到老东木骑马和举枪我还有什么遗憾呢（josegonzalez竟然参与了音乐）,0.41267203,,0.58732797,negative
音乐下漫舞浪漫。,0.52519932,,0.47480068,positive
音乐的处理还是成熟的，,0.48525921,,0.51474079,negative
然后找条空荡荡的公路听着乡村音乐驰骋。,0.41535324,,0.58464676,negative
影片根本停不下来的背景音乐真的很闹，,0.39859032,,0.60140968,negative
说唱音乐拍的我想睡着，,0.52768061,,0.47231939,positive
音乐让我精通印度语skrskr,0.6829756,,0.3170244,positive
嘻哈音乐贯穿始终，,0.63548004,,0.36451996,positive
音乐是载体，,0.50011941,,0.49988059,positive
影片的立意、演绎、细节描述及音乐做的非常好；剧中非常自然的将现今印度社会中的种种社会问题一一展露，,0.67689261,,0.32310739,positive
用音乐带来自信，,0.69285471,,0.30714529,positive
用音乐改变人生，,0.51875998,,0.48124002,positive
用音乐把那些看不起的人打到跪地求饶。,0.29925457,,0.70074543,negative
关于音乐、自我、梦想、家庭、宗教、贫富差距,0.50257408,,0.49742592,positive
印度的嘻哈更接近黑人音乐，,0.48398271,,0.51601729,negative
不像是唱嘻哈的音乐人。,0.50003557,,0.49996443,positive
画面和音乐极佳,0.6620413,,0.3379587,positive
"片子里大部分音乐段落都是""无效″影像，",0.44837996,,0.55162004,negative
ps:仍然觉得饶舌是无法欣赏的音乐，,0.38271133,,0.61728867,negative
作为一部音乐励志电影歌也可以说是好听。,0.72189538,,0.27810462,positive
但是不生硬切非常符合hip-hop音乐的特质。,0.50787969,,0.49212031,positive
典型的音乐励志片。,0.50429541,,0.49570459,positive
通过评论认识了就读于伯克利音乐学院的编曲家女主。,0.52002298,,0.47997702,positive
8.1/10印度说唱这一种外国几乎没多少人知道的音乐，,0.47103828,,0.52896172,negative
然后一步步加深了解一起玩音乐共同创作。,0.64856647,,0.35143353,positive
上传的音乐受欢迎程度只有间接表述缺乏表现力。,0.57118429,,0.42881571,positive
当然最大的不合理之处是音乐路上一路太平顺了一些，,0.50958078,,0.49041922,positive
音乐路上没有波折（难道天赋异禀就是这样子的？,0.43784884,,0.56215116,negative
印度电影很适合音乐题材，,0.61205819,,0.38794181,positive
超接地气的把印度社会的各种问题用说唱音乐这个载体表现出来，,0.44685989,,0.55314011,negative
音乐也肯定不能过关。,0.49185444,,0.50814556,negative
电影音乐非常棒！,0.73103922,,0.26896078,positive
以为音乐为勾子拍社会问题。,0.38060466,,0.61939534,negative
不喜欢这种嘻哈音乐，,0.28651705,,0.71348295,negative
音乐有点差其他都好,0.68060722,,0.31939278,positive
「如果全世界的人都是为了自在谁来说唱呢」音乐片算是难得的加入莫名其妙的歌舞也不显得尴尬的印式类型片了...剧情是没什么特别之处而更大的问题在于人物内心的描摹太弱化了导致剧情的推进很没合理性可言更不用说满满两个半小时的片长。,0.49392416,,0.50607584,negative
印地语的说唱音乐是一大看点有些歌词不错。,0.69716017,,0.30283983,positive
音乐不音乐，,0.48061687,,0.51938313,negative
除开印度语言和音乐接受度，,0.51672157,,0.48327843,positive
将自己对现实的强烈不满和愤怒转化为音乐，,0.2704103,,0.7295897,negative
画面与音乐全程牵引着情绪，,0.50428252,,0.49571748,positive
音乐虽然很喜欢，,0.73081285,,0.26918715,positive
不然有一面威廉·达福的镜子也不错（因为使用它时能响起ThomYorke的音乐）……,0.66480272,,0.33519728,positive
1h20‘关于音乐的台词太妙了。,0.52486659,,0.47513341,positive
背景音乐我挺喜欢但是感觉要高于这个电影传达的感情，,0.72328785,,0.27671215,positive
音乐简直太让人入迷了！,0.59658066,,0.40341934,positive
诺顿音乐品味以及审美很在线。,0.60272832,,0.39727168,positive
音乐很棒。,0.73102039,,0.26897961,positive
不过贯穿始终的背景音乐特别抓心,0.58313643,,0.41686357,positive
音乐品位也好。,0.6727326,,0.3272674,positive
但这部电影真实地表现了四位乐队成员的性格、爱好和对音乐的热爱，,0.69747872,,0.30252128,positive
剧本没有强调什么热爱音乐什么大梦想，,0.48757072,,0.51242928,negative
是因为音乐本身才吸引人，,0.47413974,,0.52586026,negative
就用来自地狱的音乐让他们为之倾倒；面对谩骂，,0.29643483,,0.70356517,negative
没可比性的乐队别强行比较了motleycrue没啥可悲伤的也不屑他们就是trashy而已-人人都能做音乐但疯子才搞金属(andI'llalwaysbeametalhead,0.4170513,,0.5829487,negative
比起音乐其实更多的是讲了几个人的故事，,0.47350294,,0.52649706,negative
除了音乐不好听外，,0.40495482,,0.59504518,negative
还有那个年代他们音乐中带来的新奇感贯穿了我整个高中还有大学。,0.54944705,,0.45055295,positive
估计是我今年最喜欢的一部音乐纪录片，,0.72399567,,0.27600433,positive
混乱粗俗纵欲嗑药自杀迷失回归够直接够真实不讨论对错这部电影还原度很高虽然我不喜欢他们的音乐,0.29220179,,0.70779821,negative
音乐人的世界，,0.40570375,,0.59429625,negative
音乐性的表现力《波米》完胜，,0.52050608,,0.47949392,positive
不过音乐题材真是没有新意，,0.359115,,0.640885,negative
玩音乐的，,0.51932735,,0.48067265,positive
