content,Positive,Neutral,Negative,Sentiment
很多打斗画面也都没有eva味了，,0.55398421,,0.44601579,positive
当画面回到红海边的两人，,0.49708283,,0.50291717,negative
画面和叙述手法都是老一套，,0.54204508,,0.45795492,positive
另有绫波插秧委员长喂奶等温馨画面,0.57826895,,0.42173105,positive
不是因为哪个画面，,0.48501001,,0.51498999,negative
LOGO不够大不够大、再大一点再大一点给我铺满整个画面…我怀着恶意猜想，,0.52866275,,0.47133725,positive
因为没钱只能精简概括画面，,0.45284001,,0.54715999,negative
不用做无用繁琐的画面和设计，,0.33462742,,0.66537258,negative
反而多去做故事弥补画面的缺失造就了你？,0.32091971,,0.67908029,negative
让我回想起第一次剧场版的画面，,0.41809678,,0.58190322,negative
影视画面更精良、色彩更绚烂，,0.45410705,,0.54589295,negative
俩人陷入热恋激情而现代电影的床戏尺度又很容易把亲密关系画面坐实，,0.53257477,,0.46742523,positive
拍的画面过分清晰之后，,0.42348098,,0.57651902,negative
将原著的氛围与描写通通搞成浅白庸俗的画面和剪辑。,0.41962713,,0.58037287,negative
除了画面精致一些之外！,0.72010789,,0.27989211,positive
3星半吧画面美的又了一丝托斯卡纳艳阳下的意大利味道两男女的外形真是配得美不胜收可是感觉故事讲的很一般啊还是希区柯克那版更有说服力无论爱情或是惊悚,0.56900678,,0.43099322,positive
此版除了画面好以外，,0.52593775,,0.47406225,positive
太过依赖对白而缺少画面的动态；情节的设计也缺点意思，,0.60065473,,0.39934527,positive
在夜色中抽动嘴角哽咽着回忆自己伤心往事的画面好熟悉……,0.32161421,,0.67838579,negative
最后摇椅上的画面，,0.43133474,,0.56866526,negative
画面力度解恨。,0.3323773,,0.6676227,negative
结局五部的画面出现，,0.43000509,,0.56999491,negative
画面够血腥，,0.31565956,,0.68434044,negative
但最后看了片尾回放经典画面，,0.5769148,,0.4230852,positive
片尾兰博第一集的画面一出来，,0.47069061,,0.52930939,negative
最后结尾的回顾画面好评，,0.37995924,,0.62004076,negative
画面和音乐极佳,0.6620413,,0.3379587,positive
受到邻里拥戴的画面让人相信这种故事一定真实发生过并还将持续上演。,0.62084992,,0.37915008,positive
成功以后的画面无用多说，,0.32854788,,0.67145212,negative
印象最深刻的反而是饰演“柳尼娜”的陆丽珠；彩色画面下的她那种独特的气质与形象或许更添说服力。,0.56789905,,0.43210095,positive
最后一段发报画面加上渡江战役真实场景是全片最有感觉的（就是唯一黑白的那段,0.6409549,,0.3590451,positive
很多画面色彩浮在表面，,0.50616507,,0.49383493,positive
画面与音乐全程牵引着情绪，,0.50428252,,0.49571748,positive
影片配乐和画面非常的老派，,0.69330621,,0.30669379,positive
几个配乐与画面仿佛相互缠绕的段落太妙了，,0.5237755,,0.4762245,positive
克制沉凝的画面构图、色彩运用好，,0.62796289,,0.37203711,positive
整体画面以及服化道都很不错。,0.73079063,,0.26920937,positive
很多画面的光影效果很考究，,0.58880553,,0.41119447,positive
二是真·视效革命～特别是高速移动转换状态下呈现出的3D逼真感和稳定性～如今能将3D爽感以数倍的差距干翻2D画面的作品极少，,0.4436644,,0.5563356,negative
画面精致震撼到无话可说！,0.69252078,,0.30747922,positive
赛博朋克、废土金属、暴力美学、独具风格的流畅动作格斗、超高速镜头画面设计，,0.57348217,,0.42651783,positive
有些画面竟然还挺残忍。,0.29780612,,0.70219388,negative
形神都差太多；4.绮莲有点鸡肋；5.经典画面神还原，,0.45992987,,0.54007013,negative
精致的赛博朋克画面太美了，,0.73065451,,0.26934549,positive
特效很棒画面不错世界观立得还行但讲故事这一点真的烂的无话可说,0.52779727,,0.47220273,positive
每一个画面都是经典。,0.69779219,,0.30220781,positive
画面是没得说，,0.51477503,,0.48522497,positive
呈现出一部特效震撼、画面细腻、剧情宏大的作品，,0.67654937,,0.32345063,positive
可以把我看过的所有漫威电影拉一块儿A了；论画面的优美，,0.60978639,,0.39021361,positive
很有趣的画面，,0.71292193,,0.28707807,positive
至少能看清画面，,0.52043368,,0.47956632,positive
画面也没有很让人留下深刻记忆的场面。,0.4124493,,0.5875507,negative
除了服化道和画面的优化外，,0.41741739,,0.58258261,negative
画面还行，,0.52198218,,0.47801782,positive
画面真实,0.72678876,,0.27321124,positive
战斗的画面虽然只着重拍了澳军，,0.49206178,,0.50793822,negative
電影画面不错，,0.72866803,,0.27133197,positive
画面肯定没得说啊，,0.53764887,,0.46235113,positive
"除了几处致敬前作,竟然毫无瓜葛.剧情很幽默,3D画面不错，",0.62290678,,0.37709322,positive
丹尼尔谢幕多给一星先夸吧整部动作戏场面和打斗画面都很好看很流利开头炫技那段还挺亮眼的人物情感刻画更丰富了然后ana古巴出场一小段非常惊艳但⚠️后续就是冗长的剧情先是女主长了一张嘴但我就是不跟你说像一个情感线工具人。,0.61826421,,0.38173579,positive
感觉每个画面都只是在找光和觉得自己好美，,0.66784004,,0.33215996,positive
这画面风格变化有点大适应不过来了…如果是只有古巴篇的小短片，,0.58340251,,0.41659749,positive
画面和艺术审美区别于以往的两部萨姆门德斯版本，,0.50281815,,0.49718185,positive
"如果""地狱男爵""的限制级画面是可以与""电锯惊魂""比肩的程度,本片则仅勉强做到了其十分之一。",0.34919062,,0.65080938,negative
"近乎满分的开场后,除了偶尔出现的限制级画面,影片的一切都可预测且同时很无趣。",0.49774139,,0.50225861,negative
虽然是有R级画面但异常生硬，,0.45871401,,0.54128599,negative
又看到了手扯心脏、火龙吞噬、猛火烧烤的经典画面；然而动作戏不够刚，,0.32128025,,0.67871975,negative
也就是冲这几个血浆画面才给个及格分，,0.37027345,,0.62972655,negative
画面不错，,0.73075286,,0.26924714,positive
简直是治愈系经典画面。,0.5919842,,0.4080158,positive
也能推进剧情…呵呵…特效台词画面都只能算中规中矩。,0.58196095,,0.41803905,positive
插科打诨式的小细节小画面，,0.65289118,,0.34710882,positive
画面贼暗，,0.34654106,,0.65345894,negative
每一个画面，,0.52174568,,0.47825432,positive
即使每一帧画面都是特效，,0.51768991,,0.48231009,positive
电影画面除了问题，,0.41756608,,0.58243392,negative
当画面一转出现“雷霆沙赞”标题画风瞬间改变。,0.48808414,,0.51191586,negative
从画面到声音、从原作概念到影像化实践都如此劣质的商业片了，,0.42099073,,0.57900927,negative
很多经典画面，,0.5206272,,0.4793728,positive
最后片尾曲的歌词画面想象力太丰富了不愧是飞哥与小佛，,0.7158567,,0.2841433,positive
画面精美，,0.72485092,,0.27514908,positive
脑补了一个画面：环球公司30年代的那些老怪们聚在一起，,0.35165481,,0.64834519,negative
人物从画面离开，,0.3620685,,0.6379315,negative
开篇并没有一场女主被男友暴力伤害的直接画面，,0.27514671,,0.72485329,negative
画面色彩饱满具备冲击力，,0.61296631,,0.38703369,positive
银幕画面动感十足。,0.54573292,,0.45426708,positive
画面五彩斑斓，,0.52212317,,0.47787683,positive
画面绚丽！,0.71467694,,0.28532306,positive
对了画面不错有些镜头很漂亮～,0.72784489,,0.27215511,positive
但是画面太美，,0.72782731,,0.27217269,positive
画面精致，,0.70790288,,0.29209712,positive
画面五彩缤纷。,0.55157668,,0.44842332,positive
特效和画面还行。,0.49151373,,0.50848627,negative
超级精美的画面，,0.64884513,,0.35115487,positive
画面瑰丽，,0.52227768,,0.47772232,positive
但这个画面真的绝了,0.55157902,,0.44842098,positive
绝美克制的太空画面，,0.54443616,,0.45556384,positive
意识流的叙事、缓慢的节奏、仪式感极强的画面都使很难抓住普通观众的内心，,0.4166994,,0.5833006,negative
其他所有画面都让我想要漂浮于其中,0.54650984,,0.45349016,positive
画面做得很好，,0.73078947,,0.26921053,positive
